"Name","pitcher_id","Total","AB","blank","CH","CU","EP","FA","FC","FF","FO","FS","FT","IN","KC","KN","PO","SC","SI","SL","UN"
"Hernandez, Roberto",433584,6433,0,0,0.270635784237525,0,0,0,0,0.131664853101197,0,0,0,0.00886056272345717,0,0,0.000310896937665164,0,0.453132286646977,0.135395616353179,0
"Francis, Jeff",433585,1956,0,0,0.175869120654397,0.214212678936605,0,0,0,0.0792433537832311,0,0,0,0.00460122699386503,0,0,0,0,0.467791411042945,0.0582822085889571,0
"Casilla, Santiago",433586,2574,0,0,0.0240870240870241,0.0427350427350427,0,0,0,0.222610722610723,0,0,0.37956487956488,0.0128205128205128,0.146853146853147,0,0,0,0,0.171328671328671,0
"Hernandez, Felix",433587,9645,0,0.000414722654224987,0.207153965785381,0.15966822187662,0,0.00103680663556247,0.0107827890098497,0.242405391394505,0,0,0,0.000829445308449974,0,0,0.000933125972006221,0,0.283359253499222,0.0934162778641783,0
"Petit, Yusmeiro",433589,3517,0,0,0.12368495877168,0.225476258174581,0,0,0.0818879727040091,0.425646858117714,0,0,0,0.00767699744100085,0,0,0.00113733295422235,0,0,0.134489621836793,0
"Bush, Dave",433657,51,0,0,0,0.274509803921569,0,0,0.235294117647059,0.0588235294117647,0,0,0.431372549019608,0,0,0,0,0,0,0,0
"Kensing, Logan",434137,267,0,0,0.0337078651685393,0.449438202247191,0,0,0,0.273408239700375,0,0,0.232209737827715,0,0,0,0,0,0,0.0112359550561798,0
"Loe, Kameron",434180,454,0,0,0.0286343612334802,0,0,0,0,0.116740088105727,0,0,0,0.013215859030837,0,0,0,0,0.711453744493392,0.129955947136564,0
"League, Brandon",434181,1877,0,0,0,0,0,0,0,0.0452850293020778,0,0.234949387320192,0,0.0127863612147043,0,0,0,0,0.661694192860948,0.0452850293020778,0
"Verlander, Justin",434378,9232,0,0,0.159337088388215,0.14948006932409,0,0,0,0.532495667244367,0,0,0.00899046793760832,0.00108318890814558,0,0,0.000324956672443674,0,0,0.14828856152513,0
"Buckner, Billy",434438,375,0,0,0.210666666666667,0.210666666666667,0,0,0,0.346666666666667,0,0,0.218666666666667,0.0106666666666667,0,0,0.00266666666666667,0,0,0,0
"Howell, J.P.",434442,2502,0,0.00239808153477218,0.0547561950439648,0,0,0,0,0.0383693045563549,0,0,0,0.00719424460431655,0.196642685851319,0,0.000399680255795364,0,0.570343725019984,0.129896083133493,0
"Liriano, Francisco",434538,8150,0,0,0.225521472392638,0.000858895705521472,0,0,0,0.0712883435582822,0,0,0.367361963190184,0.00159509202453988,0,0,0,0,0,0.333374233128834,0
"Jones, Garrett",434540,17,0,0,0.882352941176471,0.117647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saunders, Joe",434578,3956,0,0,0.185288169868554,0.0990899898887765,0,0,0,0.225985844287159,0,0,0.351870576339737,0.00429726996966633,0,0,0,0,0,0.133468149646107,0
"Resop, Chris",434592,353,0,0,0.192634560906516,0.0594900849858357,0,0,0,0.359773371104816,0,0,0.260623229461756,0.0113314447592068,0,0,0.0028328611898017,0,0,0.113314447592068,0
"Jimenez, Ubaldo",434622,8512,0,0.000234962406015038,0.00140977443609023,0.0390037593984962,0,0,0.00352443609022556,0.326832706766917,0,0.173989661654135,0.252232142857143,0.000469924812030075,0,0,0.00093984962406015,0,0,0.201362781954887,0
"Hammel, Jason",434628,7836,0,0,0.0515569167942828,0.0774629913221031,0,0,0,0.372894333843798,0,0,0.199591628381827,0.00344563552833078,0,0,0.000510464522715671,0,0,0.294538029606942,0
"Baker, John",434633,11,0,0,0.636363636363636,0,0,0,0,0,0,0,0,0,0,0.363636363636364,0,0,0,0,0
"Lindstrom, Matt",434637,1494,0,0,0.0140562248995984,0.0421686746987952,0,0,0,0.118473895582329,0,0,0,0.00133868808567604,0,0,0.00133868808567604,0,0.437081659973226,0.385542168674699,0
"Gutierrez, Juan",434641,1832,0,0,0.0474890829694323,0.349344978165939,0,0.000545851528384279,0,0.317139737991266,0,0,0.275655021834061,0.00600436681222707,0,0,0.00382096069868996,0,0,0,0
"Rodriguez, Wandy",434643,3070,0,0,0.0775244299674267,0.328664495114007,0,0,0.00456026058631922,0.287947882736156,0,0,0.297068403908795,0.00423452768729642,0,0,0,0,0,0,0
"Oviedo, Juan Carlos",434663,524,0,0,0.471374045801527,0,0,0,0,0.425572519083969,0,0,0.0629770992366412,0.00763358778625954,0,0,0,0,0,0.0324427480916031,0
"Masset, Nick",434665,1151,0,0,0,0.218071242397915,0,0,0.10251954821894,0.225890529973936,0,0.0677671589921807,0.379669852302346,0.0052128583840139,0,0,0,0,0,0.000868809730668983,0
"Mendoza, Luis",434669,1576,0,0,0.0526649746192893,0.0177664974619289,0,0,0,0.225253807106599,0,0,0.449238578680203,0,0,0,0.00126903553299492,0,0,0.253807106598985,0
"Sanchez, Anibal",434671,7602,0,0,0.108918705603788,0.0793212312549329,0,0.000131544330439358,0.0694554064719811,0.319258089976322,0,0.10247303341226,0,0.000789265982636148,0,0,0.00065772165219679,0,0.109313338595107,0.209681662720337,0
"Davies, Kyle",434678,38,0,0,0.0526315789473684,0.0789473684210526,0,0,0.184210526315789,0.684210526315789,0,0,0,0,0,0,0,0,0,0,0
"Street, Huston",434718,2823,0,0,0.186326602904711,0,0,0,0,0.0067304286220333,0,0,0,0.0109812256464754,0,0,0.00106269925611052,0,0.438540559688275,0.356358483882395,0
"Rowland-Smith, Ryan",434884,139,0,0,0.0143884892086331,0.215827338129496,0,0,0,0.0143884892086331,0,0,0.618705035971223,0.0215827338129496,0,0,0.00719424460431655,0,0,0.107913669064748,0
"Duke, Zach",435043,2552,0,0,0.0662225705329154,0.218260188087774,0,0.000391849529780564,0,0.0670062695924765,0,0,0.467084639498433,0.0117554858934169,0,0,0,0,0,0.169278996865204,0
"Baker, Scott",435044,1578,0,0,0.0621039290240811,0,0,0,0,0.073510773130545,0,0,0,0.00760456273764259,0,0,0,0,0.572877059569075,0.283903675538657,0
"Santos, Sergio",435045,973,0,0,0.0770811921891059,0,0,0,0.00205549845837616,0.512846865364851,0,0,0,0.0195272353545735,0,0,0.00102774922918808,0,0,0.387461459403905,0
"Johnson, Josh",435178,1468,0,0,0.0749318801089918,0.131471389645777,0,0,0,0.446185286103542,0,0,0.134196185286104,0.0061307901907357,0,0,0.000681198910081744,0,0,0.206403269754768,0
"McCarthy, Brandon",435221,5411,0,0,0.00443540935132138,0.203104786545925,0,0,0.226760303086306,0.0863056736277952,0,0.0145998891147662,0,0.00425060062834966,0,0,0.00129366106080207,0,0.459249676584735,0,0
"Miner, Zach",435261,557,0,0,0.183123877917415,0.0287253141831239,0,0,0,0.272890484739677,0,0,0,0.00718132854578097,0,0,0,0,0.299820466786355,0.208258527827648,0
"Motte, Jason",435400,1211,0,0,0.0107349298100743,0.0156895127993394,0,0,0.222130470685384,0.679603633360859,0,0,0.0553261767134599,0.0165152766308836,0,0,0,0,0,0,0
"Schumaker, Skip",435401,66,0,0,0.242424242424242,0.0757575757575758,0,0,0.560606060606061,0.106060606060606,0,0,0,0,0,0.0151515151515152,0,0,0,0,0
"Webb, Ryan",444436,2601,0,0,0.0857362552864283,0,0,0,0,0,0,0,0.000768935024990388,0.0126874279123414,0,0,0.000384467512495194,0,0.595924644367551,0.304498269896194,0
"Balester, Collin",444446,280,0,0,0.0857142857142857,0.207142857142857,0,0,0,0.628571428571429,0,0,0.0785714285714286,0,0,0,0,0,0,0,0
"Rondon, Hector",444468,2997,0,0,0.013013013013013,0.000333667000333667,0,0,0.0216883550216884,0.456122789456123,0,0,0.266266266266266,0.00734067400734067,0,0,0.001001001001001,0,0,0.234234234234234,0
"Breslow, Craig",444520,2866,0,0,0.16364270760642,0.0425680390788555,0,0,0,0.323447313328681,0,0,0.259595254710398,0.00697836706210747,0,0,0,0,0,0.203768318213538,0
"Laffey, Aaron",444836,361,0,0,0.0941828254847645,0,0,0,0.119113573407202,0.573407202216066,0,0,0,0.0110803324099723,0,0,0,0,0.138504155124654,0.0637119113573407,0
"Feldman, Scott",444857,7710,0,0.000259403372243839,0.0592736705577172,0.266666666666667,0,0,0.340596627756161,0.0402075226977951,0,0,0,0.00155642023346304,0,0,0.000518806744487678,0,0.290920881971466,0,0
"Hagadone, Nick",444935,1340,0,0,0,0,0,0,0.0552238805970149,0.755970149253731,0,0,0.0126865671641791,0.00970149253731343,0,0,0,0,0,0.166417910447761,0
"Welker, Duke",444992,20,0,0,0,0,0,0,0.05,0.5,0,0,0,0,0,0,0,0,0,0.45,0
"Nolasco, Ricky",445060,6486,0,0,0.0312981806968856,0.154332408263953,0,0,0.0126426148627814,0.265186555658341,0,0.0746222633364169,0.18609312365094,0.00246685168054271,0,0,0.000308356460067838,0,0,0.272895467160037,0.000154178230033919
"Korecky, Bobby",445090,58,0,0,0,0.586206896551724,0,0,0,0.0344827586206897,0,0,0.0689655172413793,0,0,0,0,0,0,0.310344827586207,0
"Downs, Darin",445153,1100,0,0,0.105454545454545,0.0563636363636364,0,0,0.331818181818182,0.188181818181818,0,0,0.181818181818182,0.0118181818181818,0,0,0,0,0.124545454545455,0,0
"Marshall, Sean",445156,452,0,0,0,0.373893805309735,0,0,0,0.119469026548673,0,0,0.174778761061947,0,0,0,0,0,0,0.331858407079646,0
"Janssen, Casey",445163,2116,0,0,0.0198487712665406,0.147920604914934,0,0,0.304347826086957,0.456521739130435,0,0,0.0132325141776938,0.00756143667296786,0,0,0,0,0,0.0505671077504726,0
"Redmond, Todd",445170,2761,0,0,0.0514306410720753,0,0,0,0,0.0717131474103586,0,0,0,0.0115900036218761,0,0,0.00108656283955089,0,0.599058312205723,0.265121332850417,0
"Heath, Deunte",445177,160,0,0,0.025,0,0,0,0,0.6125,0,0,0.04375,0.025,0,0,0,0,0,0.29375,0
"Coello, Robert",445193,305,0,0,0,0.0885245901639344,0,0,0,0.819672131147541,0.0885245901639344,0,0,0,0,0,0.00327868852459016,0,0,0,0
"Dunn, Mike",445197,3167,0,0,0,0.0142090306283549,0,0,0,0.59141143037575,0,0,0.0138932743921692,0.00757814966845595,0,0,0,0,0,0.37290811493527,0
"Kintzler, Brandon",445213,2116,0,0,0.0831758034026465,0,0,0,0,0.195652173913043,0,0,0,0.00803402646502836,0,0,0.000945179584120983,0,0.569470699432892,0.142722117202268,0
"McCutchen, Daniel",445216,49,0,0,0.26530612244898,0,0,0,0,0.387755102040816,0,0,0.102040816326531,0,0,0,0,0,0,0.244897959183673,0
"Jansen, Kenley",445276,3099,0,0,0,0,0,0,0.8702807357212,0.0551790900290416,0,0,0,0.00354953210713133,0,0,0.000968054211035818,0,0,0.0700225879315908,0
"Stults, Eric",445590,6820,0,0,0.221554252199413,0.0944281524926686,0,0,0,0.449120234604106,0,0,0.0535190615835777,0.0030791788856305,0,0,0,0,0,0.178299120234604,0
"Thayer, Dale",445612,2800,0,0.000357142857142857,0.0303571428571429,0,0,0,0,0.634285714285714,0,0,0.120714285714286,0.0117857142857143,0,0,0.00107142857142857,0,0,0.201428571428571,0
"Chavez, Jesse",445926,5916,0,0,0.159567275185936,0.108350236646383,0,0,0.306457065584855,0.223461798512508,0,0,0.170385395537525,0.00490196078431373,0,0,0.000845165652467884,0,0,0.0260311020960108,0
"Eveland, Dana",445968,536,0,0,0.041044776119403,0.00186567164179104,0,0,0,0.0597014925373134,0,0,0.305970149253731,0.0149253731343284,0,0,0,0,0.0279850746268657,0.548507462686567,0
"Asencio, Jairo",446003,54,0,0,0.5,0,0,0,0,0.240740740740741,0,0,0,0.0740740740740741,0,0,0,0,0,0.185185185185185,0
"Axford, John",446099,3278,0,0,0,0.176937156802929,0,0,0,0.679987797437462,0,0,0,0.00762660158633313,0,0,0.00061012812690665,0,0,0.13483831604637,0
"Ondrusek, Logan",446185,1560,0,0,0.0794871794871795,0.0557692307692308,0,0,0.186538461538462,0.466666666666667,0,0,0,0.00384615384615385,0,0,0,0,0.0794871794871795,0.128205128205128,0
"Enright, Barry",446264,181,0,0,0.110497237569061,0.0773480662983425,0,0,0,0.276243093922652,0,0,0,0,0,0,0,0,0.337016574585635,0.198895027624309,0
